title,artist,tempo,energy,danceability,loudness,valence
Bloodstream,Ed Sheeran,89,59,48,-6,27
Living For Love,Madonna,123,79,67,-5,39
Baby Don't Lie,Gwen Stefani,100,55,69,-5,26
Don't Be so Hard on Yourself,Jess Glynne,120,82,57,-3,66
Steal My Girl,One Direction,77,76,47,-6,52
"Celebrate (From the Original Motion Picture ""Penguins of Madagascar"")",Pitbull,127,85,68,-3,93
We Are Here,Alicia Keys,93,67,64,-6,8
St Jude,Florence + The Machine,117,43,26,-11,9
Yesterday (feat. Bebe Rexha),David Guetta,128,78,57,-4,28
Time of Our Lives,Pitbull,124,80,72,-6,72
Sparks,Hilary Duff,122,88,85,-5,79
Mr. Put It Down,Ricky Martin,128,78,80,-6,83
Legendary Lovers,Katy Perry,126,84,62,-5,39
Spark The Fire,Gwen Stefani,120,80,88,-4,54
Run Run Run,Kelly Clarkson,112,37,28,-7,8
Let Me Be Your Lover,Enrique Iglesias,112,90,72,-4,88
Dangerous,Jennifer Hudson,109,53,90,-5,65
L.A.LOVE (la la),Fergie,202,39,48,-8,27
Cake By The Ocean,DNCE,119,75,77,-5,90
Don't Let Me Down,The Chainsmokers,160,87,53,-5,42
In the Name of Love,Martin Garrix,134,52,50,-6,17
Into You,Ariana Grande,108,73,62,-6,37
This Is What You Came For,Calvin Harris,124,93,63,-3,47
Million Reasons,Lady Gaga,130,42,67,-8,15
Needed Me,Rihanna,111,31,67,-8,30
7 Years,Lukas Graham,120,47,77,-6,34
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,113,83,67,-6,70
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,105,59,80,-6,59
Scars To Your Beautiful,Alessia Cara,97,74,57,-6,45
Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,108,53,63,-7,42
Work,Rihanna,92,53,73,-6,56
"Me, Myself & I",G-Eazy,112,67,76,-7,38
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,102,71,66,-7,69
Dangerous Woman,Ariana Grande,134,60,66,-5,29
Starving,Hailee Steinfeld,100,62,73,-4,51
Shout Out to My Ex,Little Mix,126,75,77,-4,80
Electric Love,BØRNS,120,80,61,-8,52
Confident,Demi Lovato,130,75,59,-6,34
Too Good,Drake,118,65,79,-8,39
Roses,The Chainsmokers,100,80,71,-7,34
Cold Water (feat. Justin Bieber & MØ),Major Lazer,93,80,61,-5,50
Me Too,Meghan Trainor,124,69,93,-6,84
Light It Up (feat. Nyla & Fuse ODG) [Remix],Major Lazer,108,88,75,-4,75
Ain't Your Mama,Jennifer Lopez,120,68,76,-6,82
Close,Nick Jonas,124,62,65,-5,40
Toothbrush,DNCE,105,79,55,-6,82
All We Know,The Chainsmokers,90,59,66,-9,30
Final Song,MØ,105,67,70,-6,25
Hands To Myself,Selena Gomez,111,50,81,-7,47
All I Ask,Adele,142,28,59,-5,34
"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",P!nk,163,70,63,-6,50
NO,Meghan Trainor,92,80,56,-4,65
Kill Em With Kindness,Selena Gomez,120,88,76,-5,40
Cool Girl,Tove Lo,102,69,67,-7,20
Perfect Illusion,Lady Gaga,125,86,61,-5,66
PILLOWTALK,ZAYN,125,70,59,-4,43
Out Of The Woods,Taylor Swift,92,84,55,-7,34
Rise,Katy Perry,101,64,55,-6,44
Wherever I Go,OneRepublic,100,69,55,-6,35
Body Say,Demi Lovato,87,74,63,-5,26
Don't Be A Fool,Shawn Mendes,175,34,47,-6,27
LIKE I WOULD,ZAYN,113,83,56,-6,23
Cheap Thrills,Sia,90,80,59,-5,73
I Got You,Bebe Rexha,98,89,61,-5,32
Run Away With Me,Carly Rae Jepsen,119,72,56,-6,25
Cruel (feat. ZAYN),Snakehips,110,88,60,-4,32
Send My Love (To Your New Lover),Adele,164,52,69,-8,56
WTF (Where They From),Missy Elliott,120,82,93,-3,56
Desire,Years & Years,126,78,71,-5,64
When We Were Young,Adele,144,59,38,-6,27
I Know What You Did Last Summer,Shawn Mendes,114,77,68,-5,72
Wish That You Were Here - From “Miss Peregrine’s Home for Peculiar Children” Original Motion Picture,Florence + The Machine,94,57,37,-6,12
